ID,Gene Name,UniProt ID,Species,Drug IDs
704,TNF,P01375,Humans,DB00005; DB00051; DB00065; DB00608; DB00668; DB00852; DB01041; DB01296; DB01407; DB01427; DB02325; DB06674; DB08904; DB08910; DB10770; DB10772; DB11967; DB13751
721,BCAT2,O15382,Humans,DB00114; DB00142
729,NDUFS2,O75306,Humans,DB00157
751,OXT,P01178,Humans,DB00107
753,PAH,P00439,Humans,DB00120; DB00360; DB00368; DB06262
766,DDAH1,O94760,Humans,DB00155; DB00213; DB00736; DB05351
767,EGFR,P00533,Humans,DB00002; DB00072; DB00281; DB00317; DB00530; DB01259; DB01269; DB05294; DB08916; DB09330; DB09559; DB10772; DB11828; DB11963; DB12010; DB12267; DB15035
774,PRKAB2,O43741,Humans,DB00131
778,SGPL1,O95470,Humans,DB00114
825,GLS,O94925,Humans,DB00142
835,GRM8,O00222,Humans,DB00142
837,MGAM,O43451,Humans,DB00284; DB00491
855,C5,P01031,Humans,DB00028; DB01257; DB01593; DB09130; DB11580; DB14487; DB14533
856,PLIN3,O60664,Humans,DB01271; DB01279
859,RAMP1,O60894,Humans,DB01278
860,RAMP2,O60895,Humans,DB01278
861,RAMP3,O60896,Humans,DB01278
864,CACNA1H,O95180,Humans,DB00270; DB00568; DB00661; DB00909; DB01023; DB01054; DB01115; DB01118; DB01244; DB04841; DB09061
895,PLAU,P00749,Humans,DB00013; DB00594
897,KCNQ2,O43526,Humans,DB00321; DB00939; DB04953
901,FCGR3B,O75015,Humans,DB00002; DB00005; DB00028; DB00054; DB00056; DB00072; DB00074; DB00075; DB00078; DB00081; DB00087; DB00092; DB00095; DB00108; DB00110; DB00112; DB06607; DB11767
910,A2M,P01023,Humans,DB00102; DB00515; DB00626; DB01593; DB08888; DB12965; DB14487; DB14533
922,APOA2,P02652,Humans,DB01593; DB09130; DB14487; DB14533
934,CXCL10,P02778,Humans,DB11338
936,CUBN,O60494,Humans,DB00200
944,IFNG,P01579,Humans,DB01250; DB01296; DB10770; DB10772; DB14724
947,POMC,P01189,Humans,DB00836
952,SERPINA1,P01009,Humans,DB01593; DB09130; DB14487; DB14533
953,EGF,P01133,Humans,DB00364; DB08862
956,NR1I2,O75469,Humans,DB00163; DB00239; DB00252; DB00255; DB00257; DB00312; DB00421; DB00431; DB00499; DB00503; DB00530; DB00531; DB00532; DB00564; DB00675; DB00682; DB00754; DB00783; DB00834; DB00849; DB00977; DB01026; DB01039; DB01045; DB01068; DB01110; DB01115; DB01127; DB01138; DB01174; DB01181; DB01220; DB01229; DB01234; DB01248; DB01393; DB01708; DB02709; DB02789; DB04824; DB04930; DB06777; DB08604; DB08864; DB11087; DB11605; DB13179; DB13873; DB13952; DB13953; DB13954; DB13955; DB13956; DB14001; DB14002
965,AIFM1,O95831,Humans,DB03147
984,TGFB1,P01137,Humans,DB00070; DB01162; DB06205; DB10770; DB10772
991,AURKA,O14965,Humans,DB12010
994,LTF,P02788,Humans,DB03017; DB04743; DB08439
996,ACSL4,O60488,Humans,DB00159; DB00197; DB00412
1017,KNG1,P01042,Humans,DB01593; DB09130; DB14487; DB14533
1042,SLCO2B1,O94956,Humans,DB01241; DB05521
1051,IL1B,P01584,Humans,DB00843; DB01017; DB05260; DB06168; DB06372; DB10772; DB11967
1060,AGT,P01019,Humans,DB01593; DB09130; DB14487; DB14533
1087,LTA,P01374,Humans,DB00005
1088,PLAT,P00750,Humans,DB00013; DB00513; DB01088; DB06404; DB09213; DB09228
1093,ACSL3,O95573,Humans,DB00159
1094,NGF,P01138,Humans,DB01407
1103,CALCA,P06881,Humans,DB14041; DB14042
1119,APOE,P02649,Humans,DB01593; DB09130; DB14487; DB14533
1122,TRPA1,O75762,Humans,DB00825; DB01744; DB09061; DB11148
1126,FOS,P01100,Humans,DB08813
1140,CP,P00450,Humans,DB00055; DB01373; DB01592; DB01593; DB12965; DB14487; DB14488; DB14489; DB14490; DB14491; DB14501; DB14533
1141,GC,P02774,Humans,DB11094
1154,IKBKB,O14920,Humans,DB00244; DB00795; DB00945; DB00995; DB01169; DB06151; DB12010
1164,TLR2,O60603,Humans,DB00045; DB11601
1167,HPGDS,O60760,Humans,DB00143; DB00162; DB00755; DB09462
1171,TLR9,Q9NR96,Humans,DB00608; DB01611
1173,CYB5A,P00167,Humans,DB11136; DB14527; DB14528; DB14529; DB14530
1180,FN1,P02751,Humans,DB01593; DB08888; DB14487; DB14533
1193,PDPK1,O15530,Humans,DB00482; DB12010
1213,APCS,P02743,Humans,DB01593; DB09130; DB14487; DB14533
1251,IDH1,O75874,Humans,DB14568
1264,SULT2B1,O00204,Humans,DB01708; DB02789
1653,CA12,O43570,Humans,DB00562; DB00774; DB00819; DB00909
1656,ST14,Q9Y5Y6,Humans,DB00013
1701,CFB,P00751,Humans,DB01593; DB14487; DB14533
2091,FGB,P02675,Humans,DB11300; DB11311; DB11571; DB11572; DB13151
2092,FGG,P02679,Humans,DB11300; DB11571; DB11572
2093,C1R,P00736,Humans,DB00002; DB00005; DB00054; DB00056; DB00072; DB00074; DB00075; DB00078; DB00081; DB00087; DB00092; DB00095; DB00108; DB00110; DB00112; DB01593; DB06404; DB09228; DB14487; DB14533
